call_id,timestamp,model_name,provider,num_items_in_call,prompt_tokens,completion_tokens,total_tokens,duration_sec,api_status,error_message
819bbb9a-359b-4786-b3eb-062966693260,1749467210.1075702,qwen2.5,ollama,10,4096,1577,5673,89.17571592330933,SUCCESS,
bff0a2cc-3c12-40e0-9823-983b59ba8ebb,1749467302.9649692,qwen2.5,ollama,10,4096,1592,5688,90.59637665748596,SUCCESS,
7330c2d6-1454-4907-85f7-f24f9928ea0d,1749467402.385632,qwen2.5,ollama,10,4096,1711,5807,97.17529821395874,SUCCESS,
5a4d08bd-9a79-4697-9870-8ff7ca3e7c71,1749467498.097963,qwen2.5,ollama,10,4096,1639,5735,93.44746780395508,SUCCESS,
b5e56baf-69d5-4246-8c9d-105534b9133c,1749467596.0766006,qwen2.5,ollama,10,4096,1691,5787,95.7259042263031,SUCCESS,
e009e377-e2ab-415f-ad33-7a04b5fb6aea,1749467689.006838,qwen2.5,ollama,10,4096,1605,5701,90.65629315376282,SUCCESS,
f778d640-51be-4840-b1bb-852fe186020f,1749467780.7062473,qwen2.5,ollama,10,4096,1577,5673,89.45175337791443,SUCCESS,
b3c695c5-37d0-4592-8e7f-e429f930dbff,1749467864.7357988,qwen2.5,ollama,10,4096,1430,5526,81.77392292022705,SUCCESS,
dc96053d-98a5-43a9-b875-1ccb51e2e33e,1749467962.3749192,qwen2.5,ollama,10,4096,1683,5779,95.35264325141907,SUCCESS,
2f6d8aa8-1b2a-44e7-b6aa-745ed5252931,1749468051.1505928,qwen2.5,ollama,10,4096,1510,5606,86.52325057983398,SUCCESS,
e17d796b-d18c-4346-b6d1-6dccddb69a05,1749468141.57265,qwen2.5,ollama,10,4096,1550,5646,88.14881086349487,SUCCESS,
86eb475b-37fe-4bc6-af6c-ac252864ae6b,1749468239.1251717,qwen2.5,ollama,10,4096,1689,5785,95.30522131919861,SUCCESS,
4521d632-2f5c-43df-8574-13b77fdc18d9,1749468329.593046,qwen2.5,ollama,10,4096,1546,5642,88.20857000350952,SUCCESS,
fe994af0-807d-4270-8621-8b1f762982dc,1749468418.116004,qwen2.5,ollama,10,4096,1520,5616,86.2385618686676,SUCCESS,
b779f142-aafe-4242-af54-ff84946718b6,1749468519.2464478,qwen2.5,ollama,10,4096,1751,5847,98.87506747245789,SUCCESS,
07fb281a-68c6-4b16-9b11-74fc400f136f,1749468613.5500517,qwen2.5,ollama,10,4096,1619,5715,92.04629969596863,SUCCESS,
f4414625-2a25-4242-b75f-8ad1f3b3c26b,1749468930.5091877,qwen2.5,ollama,25,4096,2871,6967,314.54651284217834,SUCCESS,
481ad78d-febd-4eb7-b0b8-2762d0f6d40b,1749469289.7457905,qwen2.5,ollama,25,4096,3273,7369,356.9733633995056,SUCCESS,
2d254edd-3c92-4159-8a2b-a6278f5b6f44,1749475871.8368664,qwen2.5,ollama,25,,,,6579.81449341774,TIMEOUT_ERROR,
98ba416f-6f8e-4819-aa99-308176870430,1749476229.8831148,qwen2.5,ollama,25,4096,3245,7341,355.6060631275177,SUCCESS,
739c3b99-fd2f-4bb2-a1f4-d9618282cede,1749476678.9875255,qwen2.5,ollama,25,4096,4096,8192,446.81634426116943,SUCCESS,
b190d112-b148-45c0-b69d-8fc8343713ea,1749477045.4468222,qwen2.5,ollama,25,4096,3335,7431,364.2062191963196,SUCCESS,
42dcc6aa-a26f-458a-93ca-5cb1e92377f2,1749477379.9299104,qwen2.5,ollama,25,4096,3028,7124,332.2103314399719,SUCCESS,
5a2747c0-ca0d-405c-b25a-5859e9cf77cf,1749477774.4335377,qwen2.5,ollama,25,4096,3596,7692,392.2428662776947,SUCCESS,
c6cf6693-a1d0-4514-b76a-89e18dec11e8,1749478104.22476,qwen2.5,ollama,25,4096,2986,7082,327.5195848941803,SUCCESS,
46359d98-c214-499b-9132-97b6ad1c28e9,1749478428.8910556,qwen2.5,ollama,25,4096,2943,7039,322.4041941165924,SUCCESS,
