Métrica,l0_size,Média,Mediana,DesvioPadrão,Mínimo,P25,P75,Máximo,IQR,CV (Mediana)
F1-Macro,8000,0.40595793497770727,0.4056667015078144,0.006743173820418539,0.3903417323059156,0.40176856038242326,0.4106629829869789,0.4210527265738833,0.00889442260455564,0.016622448376296412
F1-Macro,9000,0.41962591192377835,0.41976823136622743,0.006718511362168435,0.4064860229271216,0.4151807850911068,0.4259143598117013,0.429211730079828,0.010733574720594496,0.016005287785348318
F1-Macro,10000,0.43330849782039704,0.43235664799118323,0.006399240524373824,0.4183437755147134,0.42934641310725996,0.4381354487727164,0.4456064382110688,0.008789035665456413,0.014800837547670788
F1-Macro,20000,0.5033859452024483,0.502902794644627,0.00702419871766707,0.4875067445846406,0.4998750144555528,0.5078736403330907,0.5165890029161267,0.007998625877537857,0.013967308948170325
F1-Macro,30000,0.5485952882455505,0.5479814075353185,0.007709400240743518,0.5358347369799356,0.5422533205792619,0.5539560980635689,0.5654131789645127,0.011702777484307036,0.014068725910518972
F1-Macro,40000,0.5739085826296928,0.5751811267625113,0.006536690725998933,0.5577848898682032,0.5693534285359474,0.5789007467071294,0.5836801853391957,0.00954731817118204,0.011364577887711733
F1-Macro,50000,0.5948571764642663,0.5939851066346868,0.007111378240224472,0.5837264068392096,0.5898856135749391,0.5980821000355089,0.6130274512182587,0.008196486460569807,0.011972317401260701
F1-Macro,60000,0.6120224804511285,0.6125137050529187,0.005990235853378673,0.6013402461010385,0.6066843182736963,0.6158398894241517,0.6237112506735787,0.0091555711504554,0.009779758059587227
F1-Macro,70000,0.6245698444656063,0.6236747822812347,0.0060680396390899215,0.6120819454231867,0.6216787591581777,0.6270694196048601,0.64188276114596,0.005390660446682349,0.00972949332208875
F1-Macro,80000,0.6354133357537567,0.6343413053148491,0.00573249797421579,0.6268935024641621,0.6311618013725834,0.6406402884431681,0.65061545178981,0.00947848707058474,0.009036929988870252
F1-Macro,90000,0.6452324352482534,0.6458369785388418,0.005139428464188979,0.636913906622777,0.6410742296973114,0.6487150488848638,0.6546611359627379,0.007640819187552328,0.007957779791207951
F1-Macro,100000,0.6543990635304344,0.653358991806235,0.005733908324295443,0.6404629799758766,0.6515510919976817,0.6570714721758525,0.6657096483831367,0.005520380178170803,0.008776045615700178
F1-Macro,110000,0.6611750949499233,0.6606406393674134,0.005958509024901522,0.6476902742862878,0.6567963838159506,0.6656534765206883,0.6738580596610172,0.008857092704737668,0.009019289248671887
F1-Macro,120000,0.6695808564747677,0.6691164080356897,0.004144873135386349,0.6615598730434775,0.6669524752389927,0.6719378693309749,0.6770598300220113,0.004985394091982176,0.006194547136214781
F1-Macro,130000,0.6753758554062302,0.676069759197936,0.004444601978897442,0.667602137058532,0.6722864229820655,0.6785797750985583,0.6848482180955526,0.006293352116492734,0.006574176572542123
F1-Macro,140000,0.6794296799122844,0.6788767755586483,0.003991679662546762,0.6713726511071275,0.6765841073945014,0.6831767541461737,0.6858691817594059,0.006592646751672371,0.005879829448256166
F1-Macro,150000,0.684893973369998,0.6850237533134154,0.0034384825572988066,0.6774760295160676,0.682309488257691,0.6877597552943898,0.6903535494163247,0.005450267036698819,0.005019508499738267
F1-Macro,160000,0.6887517897777612,0.688244842562051,0.0037027811374645394,0.6817601024133193,0.6867849608042301,0.6909932529355615,0.7004290024617383,0.004208292131331337,0.0053800346956478185
F1-Macro,170000,0.693007277949744,0.6931404461034293,0.002941575780458354,0.6877231574055747,0.6903455721705469,0.6954659583363794,0.6988892707532675,0.005120386165832436,0.004243838016885223
F1-Macro,180000,0.6982887538565957,0.6986779220431273,0.0029638223504926853,0.6921193541010103,0.6962567068190012,0.7003348170965706,0.7038083608389003,0.0040781102775694356,0.0042420437983550505
F1-Macro,190000,0.7008536356567553,0.7006148809884678,0.002354805392966725,0.6946107774416657,0.6997916044818968,0.7017594281572547,0.7063993785421506,0.0019678236753578604,0.0033610553436766496
F1-Macro,200000,0.7042689862979796,0.7042741081797115,0.00025652951806099235,0.703674970046073,0.7041202038778711,0.7044486896620734,0.7047137659615593,0.0003284857842023037,0.00036424669701372347
